slug,name,scientificname,completeness_score,classification,priority,missing_fields
dream-herb,dream herb,Calea ternifolia,4,ready_for_research,medium,preparation; region
duboisia-hopwoodii,duboisia hopwoodii,Duboisia hopwoodii,6,ready_for_research,high,
urtica-urens,dwarf nettle,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
dysphania-ambrosioides,dysphania ambrosioides,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
echinacea-purpurea,echinacea purpurea,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
echinopsis-pachanoi,echinopsis pachanoi,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
elaeagnus-angustifolia,elaeagnus angustifolia,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
eleutherococcus-senticosus,eleutherococcus senticosus,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
eleutherococcus-senticosus-siberian-ginseng,eleutherococcus senticosus (siberian ginseng),,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
elsholtzia-ciliata,elsholtzia ciliata,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
entada-rheedii,entada rheedii,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
ephedra,ephedra,Ephedra sinica,4,ready_for_research,medium,preparation; region
ephedra-sinica,ephedra sinica,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
erythrina-americana,erythrina americana,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
erythrina-mulungu,erythrina mulungu,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
erythroxylum-catuaba,erythroxylum catuaba,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
erythroxylum-coca,erythroxylum coca,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
eschscholzia-californica,eschscholzia californica,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
espeletia-grandiflora,espeletia grandiflora,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
ficus-religiosa,ficus religiosa,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
vitex-negundo,five-leaved chaste tree,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
flame-lily,flame lily,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
foxglove,foxglove,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
frankincense-boswellia,frankincense (boswellia),,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
galbulimima-belgraveana,galbulimima belgraveana,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
galphimia-glauca,galphimia glauca,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
impatiens-balsamina,garden balsam,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
gastrodia-elata,gastrodia elata,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
gelsemium-sempervirens,gelsemium sempervirens,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
genipa-americana,genipa americana,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
giant-reed,giant reed,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
zingiber-officinale,ginger,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
ginkgo-biloba,ginkgo biloba,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
gliricidia-sepium,gliricidia sepium,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
ulex-europaeus,gorse,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
gotu-kola,gotu kola,Centella asiatica,4,ready_for_research,high,preparation; region
xylopia-aethiopica,grains of selim,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
vitis-vinifera,grape seed,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
guarana,guarana,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
paullinia-cupana,guaraná,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
ilex-guayusa,guayusa,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
gymnema-sylvestre,gymnema sylvestre,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
gynostemma-pentaphyllum,gynostemma pentaphyllum,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
hawaiian-baby-woodrose,hawaiian baby woodrose,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
viola-tricolor,heartsease,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
heimia,heimia,Heimia spp.,4,ready_for_research,medium,preparation; region
heimia-myrtifolia,heimia myrtifolia,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
heimia-salicifolia,heimia salicifolia,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
heimia-salicifolia-sinicuichi,heimia salicifolia (sinicuichi),Heimia salicifolia,6,ready_for_research,high,
helichrysum-odoratissimum,helichrysum odoratissimum,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
henbane,henbane,,5,partial,high,scientificname
hibiscus-sabdariffa,hibiscus sabdariffa,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
valeriana-wallichii,himalayan valerian,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
ocimum-sanctum,holy basil,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
hop-flowers,hop flowers,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
hops,hops,Humulus lupulus,4,ready_for_research,medium,preparation; region
horny-goat-weed,horny goat weed,Epimedium spp.,4,ready_for_research,medium,preparation; region
huperzia-serrata,huperzia serrata,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
